"","F1","F5","F2","F1.1","F2.1","F6","F4","F3","F5.1","F1.2","F2.2","F6.1","F2.3","F4.1","F2.4","F5.2","F2.5","F6.2","F1.3","F2.6","F5.3","F4.2","F2.7","F3.1","F2.8","F5.4","F3.2","F1.4","F3.3","F1.5","F5.5","F6.3","F1.6","F5.6","F2.9","F3.4","F4.3","F2.10","F1.7","F6.4","F4.4","F5.7","F3.5","F2.11"
"136","Strongly Agree","Neither Agree nor Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Neither Agree nor Disagree","Strongly Agree","Somewhat Agree","Neither Agree nor Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Somewhat Agree","Neither Agree nor Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neither Agree nor Disagree","Somewhat Agree","Strongly Agree","Somewhat Disagree","Strongly Agree","Neither Agree nor Disagree","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Somewhat Disagree","Somewhat Disagree","Strongly Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree"
"137","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Strongly Agree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Disagree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Neither Agree nor Disagree","Strongly Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Strongly Agree","Strongly Agree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Strongly Disagree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Strongly Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Strongly Agree","Strongly Disagree","Somewhat Agree"
"138","Somewhat Agree","Neither Agree nor Disagree","Somewhat Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Neither Agree nor Disagree","Somewhat Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Somewhat Agree","Strongly Agree","Strongly Agree","Somewhat Agree","Strongly Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Neither Agree nor Disagree","Somewhat Disagree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Disagree","Strongly Agree","Neither Agree nor Disagree","Somewhat Disagree","Somewhat Agree"
"139","Strongly Agree","Neither Agree nor Disagree","Strongly Agree","Strongly Agree","Somewhat Agree","Strongly Disagree","Strongly Agree","Neither Agree nor Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Somewhat Agree","Somewhat Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Somewhat Agree","Strongly Agree","Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Neither Agree nor Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Strongly Disagree","Neither Agree nor Disagree","Somewhat Disagree","Strongly Agree","Strongly Disagree","Somewhat Agree"
"140","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Strongly Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree"
"141","Somewhat Agree","Neither Agree nor Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Strongly Agree","Strongly Agree","Somewhat Agree","Strongly Agree","Somewhat Disagree","Strongly Agree","Somewhat Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neither Agree nor Disagree","Strongly Agree","Somewhat Agree","Neither Agree nor Disagree","Strongly Agree","Neither Agree nor Disagree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Strongly Agree","Somewhat Disagree","Somewhat Disagree","Strongly Agree","Somewhat Agree","Neither Agree nor Disagree","Strongly Agree","Strongly Agree","Neither Agree nor Disagree","Somewhat Agree"
"142","Strongly Agree","Somewhat Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Strongly Agree","Somewhat Agree","Strongly Agree","Strongly Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Agree","Strongly Agree","Somewhat Agree","Strongly Agree","Strongly Disagree","Somewhat Disagree","Strongly Agree","Somewhat Disagree","Strongly Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Strongly Agree","Strongly Disagree","Somewhat Agree"
"143","Somewhat Agree","Somewhat Disagree","Strongly Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Neither Agree nor Disagree","Strongly Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Strongly Agree","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Strongly Disagree","Strongly Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree"
"144","Strongly Agree","Somewhat Disagree","Somewhat Agree","Strongly Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Strongly Agree","Somewhat Agree","Strongly Agree","Somewhat Agree","Somewhat Agree","Strongly Agree","Strongly Disagree","Somewhat Agree","Strongly Agree","Strongly Agree","Strongly Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Strongly Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Strongly Agree","Somewhat Agree","Strongly Agree","Somewhat Disagree","Somewhat Disagree","Strongly Agree","Somewhat Disagree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Agree"
"145","Strongly Agree","Neither Agree nor Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Neither Agree nor Disagree","Somewhat Agree","Somewhat Disagree","Neither Agree nor Disagree","Strongly Agree","Strongly Agree","Somewhat Agree","Strongly Agree","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Strongly Agree","Strongly Agree","Somewhat Agree","Somewhat Agree","","Neither Agree nor Disagree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Strongly Agree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree"
"146","Strongly Agree","Somewhat Disagree","Strongly Agree","Strongly Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Strongly Agree","Strongly Agree","Somewhat Agree","Somewhat Agree","Strongly Disagree","Somewhat Agree","Strongly Agree","Strongly Agree","Strongly Agree","Somewhat Agree","Somewhat Disagree","Strongly Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Strongly Agree","Strongly Disagree","Somewhat Disagree","Strongly Agree","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Strongly Agree","Strongly Disagree","Somewhat Agree"
"147","Somewhat Agree","Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Strongly Agree","Somewhat Disagree","Strongly Agree","Somewhat Agree","Somewhat Agree","Strongly Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Strongly Disagree","Somewhat Agree","Somewhat Disagree","Strongly Agree","Somewhat Agree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree"
"148","Somewhat Agree","Somewhat Disagree","Strongly Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Somewhat Agree","Strongly Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Strongly Agree","Somewhat Agree","Somewhat Agree","Strongly Agree","Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree"
"149","Strongly Agree","Neither Agree nor Disagree","Somewhat Agree","Strongly Agree","Strongly Agree","Neither Agree nor Disagree","Strongly Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree","Strongly Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neither Agree nor Disagree","Strongly Agree","Strongly Agree","Neither Agree nor Disagree","Strongly Agree","Somewhat Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Neither Agree nor Disagree","Strongly Agree","Neither Agree nor Disagree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Neither Agree nor Disagree","Strongly Agree","Somewhat Agree","Somewhat Disagree","Strongly Agree"
"150","Strongly Agree","Somewhat Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Somewhat Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Somewhat Agree","Somewhat Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neither Agree nor Disagree","Strongly Agree","Strongly Agree","Neither Agree nor Disagree","Somewhat Disagree","Strongly Agree","Neither Agree nor Disagree","Strongly Agree","Strongly Agree","Somewhat Disagree","Strongly Agree","Strongly Agree","Somewhat Agree","Strongly Agree","Strongly Agree","Neither Agree nor Disagree","Strongly Agree"
"151","Strongly Agree","Somewhat Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","","Somewhat Agree","Strongly Disagree","Strongly Agree","Somewhat Agree","Strongly Agree","Strongly Agree","Strongly Agree","Somewhat Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Neither Agree nor Disagree","Strongly Disagree","Strongly Agree","Somewhat Disagree","Strongly Agree","Strongly Disagree","Somewhat Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Somewhat Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Neither Agree nor Disagree","Strongly Agree","Strongly Agree","Somewhat Disagree","Strongly Agree"
"152","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Strongly Agree","Strongly Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Strongly Disagree","Somewhat Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Agree","Somewhat Disagree","Somewhat Agree"
"153","Somewhat Agree","Strongly Disagree","Somewhat Disagree","Neither Agree nor Disagree","Strongly Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Strongly Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Strongly Agree","Strongly Agree","Somewhat Agree","Strongly Agree","Somewhat Agree","Strongly Agree","Strongly Agree","Somewhat Agree","Strongly Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Strongly Disagree","Somewhat Disagree","Somewhat Agree","Strongly Disagree","Strongly Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Somewhat Agree"
"154","Strongly Agree","Somewhat Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Somewhat Agree","Strongly Agree","Somewhat Agree","Somewhat Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Somewhat Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Somewhat Agree","Strongly Agree","","Somewhat Agree","Strongly Agree","Somewhat Agree","Somewhat Agree","Strongly Agree","Somewhat Agree","Strongly Agree","Somewhat Disagree","Strongly Disagree","Strongly Agree","Somewhat Disagree","Strongly Agree","Somewhat Agree","Somewhat Agree","Strongly Agree","Strongly Agree","Somewhat Agree","Strongly Agree","Strongly Agree","Somewhat Agree","Strongly Agree"
"155","Somewhat Agree","Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree"
"156","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Somewhat Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Somewhat Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Somewhat Agree","Neither Agree nor Disagree","Strongly Agree","Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Somewhat Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Somewhat Disagree","Strongly Agree","Strongly Agree","Somewhat Agree","Strongly Agree"
"157","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Somewhat Agree","Somewhat Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Somewhat Agree","","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Somewhat Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Agree","Somewhat Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Somewhat Agree","Somewhat Agree","Neither Agree nor Disagree","Strongly Agree","Somewhat Disagree","Somewhat Agree","Strongly Agree","Somewhat Disagree","Strongly Agree"
"158","Strongly Agree","Somewhat Disagree","Somewhat Agree","Strongly Agree","Somewhat Agree","Somewhat Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Strongly Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Strongly Agree","Strongly Agree","Somewhat Disagree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Strongly Disagree","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree"
"159","Somewhat Agree","Neither Agree nor Disagree","Strongly Agree","Somewhat Agree","Strongly Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Strongly Agree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Disagree","Somewhat Agree"
"160","Somewhat Agree","Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree","Strongly Agree","Somewhat Disagree","Somewhat Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Strongly Agree","Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Strongly Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Somewhat Agree","Strongly Agree","Neither Agree nor Disagree","Somewhat Agree"
"161","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree"
"162","Somewhat Agree","Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Strongly Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Neither Agree nor Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree"
"163","Strongly Agree","","Somewhat Disagree","Somewhat Agree","Strongly Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Somewhat Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Strongly Disagree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Strongly Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree"
"164","Somewhat Agree","Somewhat Disagree","Strongly Agree","Strongly Agree","Somewhat Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Somewhat Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neither Agree nor Disagree","Strongly Agree","Neither Agree nor Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Strongly Agree","Somewhat Agree","Strongly Agree","Somewhat Agree","Somewhat Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Somewhat Disagree","Strongly Agree","Strongly Agree","Somewhat Agree","Strongly Agree","Somewhat Agree","Somewhat Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Somewhat Agree"
"165","Strongly Agree","Somewhat Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Somewhat Disagree","Somewhat Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Somewhat Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Strongly Disagree","Somewhat Agree","Somewhat Disagree","Strongly Agree","Somewhat Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree","Strongly Disagree","Strongly Agree"
"166","Somewhat Agree","Neither Agree nor Disagree","Strongly Agree","Strongly Agree","Somewhat Agree","Strongly Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Strongly Agree","Strongly Agree","Somewhat Agree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree","Strongly Agree","Somewhat Agree","Strongly Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Neither Agree nor Disagree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree"
"167","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Strongly Disagree","Neither Agree nor Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Somewhat Disagree","Neither Agree nor Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree"
"168","Strongly Agree","Neither Agree nor Disagree","Strongly Agree","Strongly Agree","Somewhat Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Somewhat Agree","Somewhat Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Somewhat Agree","Somewhat Agree","Strongly Agree","Strongly Agree","Strongly Agree","Somewhat Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Somewhat Agree","Strongly Agree","Somewhat Agree","Strongly Agree","Neither Agree nor Disagree","Somewhat Agree","Strongly Disagree","Somewhat Disagree","Strongly Agree","Somewhat Disagree","Strongly Agree","Somewhat Agree","Neither Agree nor Disagree","Strongly Agree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Agree","","Neither Agree nor Disagree","Somewhat Agree"
